献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
诱使 ||| 诱使 ||| 用 言语 或 行动 吸引 特定 对象 做 特定 事件 。
阿美族 ||| 阿美族 ||| 阿美族 的 文化 。
阿美族 ||| 阿美族 ||| 台湾地区 原住民 之一 ， 分布 于 台东 纵谷 及 东海岸 平原 。
跷课 ||| 跷课 ||| 老师 故意 不 履行 教书 的 义务 。 多用 客观 描述 ， 而 非 主观 陈述 。
跷课 ||| 跷课 ||| 学生 故意 不 履行 上课 义务 。
最后 ||| 功能词 ||| 时序 或 次序 排 在 所有 其他 同类 之后 的 位置 。
最后 ||| 功能词 ||| 事物 的 最后 或 结束 的 部分 。
最后 ||| 功能词 ||| 指当 主事者 失去 一切 的 时候 ， 唯一 剩下 的 可用 的 对象 。
最后 ||| 方位特性值 后 ||| 指 特定 对象 的 数量 仅剩 后 述 数量 。
最后 ||| 功能词 ||| 连接 事件 的 结尾 或 结论 。
央 ||| 要求 诚心 ||| 以 卑微 的 态度 请 他人 帮忙 。
央 ||| 央 ||| 台湾 国立大学 之一 ， 位于 桃园县 。 ‘ 中央大学 ’ 的 缩写 。
央 ||| 央 ||| 特定 平面 的 中心 。
叹 ||| 叹 ||| 从 口中 呼出 长气 。
叹 ||| 叹 ||| 给予 特定 对象 极高 的 正面 评价 。
叹 ||| 叹 ||| 将 对 后述 对象 的 不满 说 出来 。
感召 ||| 感召 ||| 受到 特定 对象 的 影响 而 有所 体悟 。
听 ||| 用具 保存 食物 ||| 计算 罐头食品 的 单位 。 为 英语 tin 的 音译 。
听 ||| 用具 保存 食物 ||| 打麻将 时 ， 处于 等待 胡牌 的 状态 。
听 ||| 听 ||| 透过 听觉 来 接收 讯息 。
听 ||| 听 ||| 透过 听觉 来 理解 和 欣赏 。
听 ||| 听 ||| 用 耳朵 接收 声音 。
听 ||| 遵循 ||| 接受 并 服从 后 述 对象 的 意见 。
请命 ||| 请命 ||| 请求 指派 。
请命 ||| 请命 ||| 向 上层 单位 做 重大 或 紧急 的 请求 。
开动 ||| 活动 ||| 以 前述 能源 使 后述 对象 运转 。
开动 ||| 启动 ||| 打开 前述 对象 引擎 ， 使 其 运转 。
开动 ||| 开动 ||| 开始 吃饭 。
开动 ||| 开动 ||| 提醒 语 。 用于 提醒 大家 可以 开始 吃饭 。
英俊 ||| 英俊 ||| 形容 男子 的 面貌 具有 美的 特质 。
金额 ||| 多少 钱财 ||| 金钱 的 数目 。
咽 ||| 部件 部件 口 动物 ||| 使 已 在 咽喉 的 东西 进入 食道 。
认命 ||| 认命 ||| 形容 接受 自己 命运 中 的 负面 结果 的 。
出来 ||| 功能词 动趋 外 ||| 从 参考 位置 的 里面 移 到 参考 位置 的 外面 。
出来 ||| 功能词 动趋 外 ||| 特定 物体 随 前述 动作 从 参考 位置 的 里面 移 到 参考 位置 的 外面 。
出来 ||| 功能词 动趋 外 ||| 形容 比 预期 中 的 位置 更往 外 的 。
出来 ||| 功能词 动趋 外 ||| 比喻 正式 离开 对 主事者 产生 影响 的 团体 。
出来 ||| 功能词 动趋 外 ||| 前述 动作 完成 或 实现 并 得到 结果 。
出来 ||| 功能词 动趋 外 ||| 形容 比 预期 的 程度 更 高 的 。
出来 ||| 出现 ||| 特定 对象 出现 。
出来 ||| 出来 ||| 比喻 开始 从事 特定 事件 。
惊人 ||| 惊人 ||| 形容 让 人 感到 惊讶 的 。
电通所 ||| 电通所 ||| 电通 所 的 建筑物 及 建筑物 所在 的 位置 。
电通所 ||| 电通所 ||| 工业 技术 研究院 电通 所 的 建筑物 及 建筑物 所在 的 位置 。
电通所 ||| 电通所 ||| 工业 技术 研究院 ， 研究 电脑 与 通讯 工业 的 机构 ， 在 西元 1990 年 成立 ， 已于 西元 2006 年 更名 为 资讯 与 通讯 工业 研究所 。
电通所 ||| 电通所 ||| 研究 电子 、 电脑 或 通讯 等 相关 技术 的 系 所 。
令尊 ||| 人 家庭 直系 男 长辈 特定 你 ||| 代指 听话者 的 父亲 。
啖 ||| 吃 ||| 用 利益 引诱 特定 对象 做 特定 事件 。
啖 ||| 啖 ||| 把 食物 送入 特定 对象 的 口中 。
啖 ||| 啖 ||| 使 食物 经过 口中 吞入 体内 。
啖 ||| 啖 ||| 姓 。
尺 ||| 单位 距离 长度 宽度 ||| 计算长度 的 单位 ， 市制 一尺 等于 十二 寸 。
尺 ||| 用具 测量 距离 长度 宽度 ||| 用来 测量 长度 的 工具 。
令郎 ||| 人 家庭 小辈 直系 男 特定 你 ||| 代指 听话者 的 儿子 。
捐赠 ||| 捐赠 ||| 拿出 财物 送给 人 或 团体 ， 不 求 直接 报偿 。
讲话 ||| 说 人 众 ||| 对 大众 发表 言论 。
讲话 ||| 说 人 众 ||| 站 在 他人 的 立场 发表 言论 。
讲话 ||| 说 人 众 ||| 针对 特定 主题 ， 向 大众 发表 的 言论 。
讲话 ||| 说 人 众 ||| 接受 别人 的 说法 或 请求 。 常用 于 ‘ 好 … ’ 或 ‘ 难 … ’ 。
讲话 ||| 说 ||| 说话 的 讯息 内容 。
讲话 ||| 说 人 众 ||| 根据 演讲稿 或 记录 而 发表 的 著作 。
讲话 ||| 讲话 ||| 比喻 传递 讯息 或 明确 的 道理 。
讲话 ||| 讲话 ||| 批评 。
讲话 ||| 讲话 ||| 透过 发声器官 ， 用 语音 传送 讯息 。
奏 ||| 实现 ||| 形容 达到 预期 的 效果 。
奏 ||| 娱乐 乐器 ||| 古代 臣 下 向 皇帝 上书 或 进言 。
奏 ||| 娱乐 乐器 ||| 中国 古代 文体 之一 ， 内容 为臣 下 进呈 君王 的 文书 ， 通常 用于 报告 。
奏 ||| 奏 ||| 姓 。
奏 ||| 奏 ||| 演奏 特定 音乐 。
奏 ||| 奏 ||| 音乐 的 特定 演奏 技巧 。
经常 ||| 经常 ||| 表 次数 很多 ， 用于 对 事件 规律性 的 描述 。
经常 ||| 经常 ||| 形容 非 例外 的 。
国际 ||| 国际 ||| 全体 人类 社会 。
国际 ||| 国际 ||| 日本 松下 企业 的 电器 品牌 。
国际 ||| 国际 ||| 形容 国与国 之间 的 。
看倌 ||| 看倌 ||| 对 观众 与 读者 的 称呼 ， 通常 用 於 戏曲 、 话本 和 章回小说 中 。
基层 ||| 部件 组织 处理 事务 ||| 各种 组织 的 最低 层 的 部份 。
基层 ||| 部件 组织 处理 事务 ||| 比喻 事件 发展 的 基础 。
基层 ||| 部件 组织 处理 事务 ||| 建筑物 的 底层 。
基层 ||| 部件 组织 处理 事务 ||| 形容 基本 的 。
自掏腰包 ||| 自掏腰包 ||| 自己 付钱 。
您们 ||| 您们 ||| 代指 复数 的 听话者 。
譬如说 ||| 譬如说 ||| 引介 例子 。
造 ||| 创造 ||| 比喻 因 做 特定 事件 而 造成 特定 结果 。
造 ||| 创造 ||| 创造 新 的 事物 。
造 ||| 创造 ||| 以 特定 原料 或 材料 做成 成品 ， 通常 是 规模 大 、 数量 多 。
造 ||| 创造 ||| 由 人工 制造 出 特定 自然物 或 自然景观 。
造 ||| 培养 ||| 比喻 建构 特定 目标 并 执行 。
造 ||| 造 ||| 比喻 进行 性行为 。
造 ||| 造 ||| 编造出 没有 根据 、 不符 事实 的话 或事物 。
造 ||| 造 ||| 将 材料 依照 设计 规格 ， 建造 后述 供 人类 活动 的 房屋 或 土木工程 。
造 ||| 造 ||| 生物体 自行 产生 特定 微生物 质 。
造 ||| 造 ||| 物品 为 前述 材质 制造 的 。
造 ||| 造 ||| 姓 。
造 ||| 造 ||| 因 前述 对象 而 产生 后 述 结果 。
辅导 ||| 教 ||| 老师 针对 有 特别 学习 需求 的 学生 进行 额外 的 指导 。
辅导 ||| 辅导 ||| 由 有 权力 的 单位 要求 专业人士 指导 后 述 对象 。
辅导 ||| 辅导 ||| 针对 心理 问题 提出 解答 或 建议 。
辅导 ||| 辅导 ||| 针对 心理 问题 提出 解答 或 建议 的 人 。
裔 ||| 人 后裔 ||| 具有 前述 血统 的 人 。
裔 ||| 人 后裔 ||| 人类 代代 繁衍 出 的 子孙 。
裔 ||| 人 后裔 ||| 姓 。
裔 ||| 位置 远 ||| 偏远 的 地区 。
昨天 ||| 时间 日 过去 特定 ||| 说话 者 所在 的 时间 参考点 的 前一天 。
昨天 ||| 时间 日 过去 特定 ||| 在 时间 参考点 之前 的 时段 。
上市 ||| 出现 证券 场所 证券 买 卖 ||| 公司 有 一定 规模 并 经 政府 认定 许可 ， 可以 在 股票市场 里 流通 。
上市 ||| 出现 证券 场所 证券 买 卖 ||| 前往 提供 商品 买卖 的 市场 。
上市 ||| 出现 证券 场所 证券 买 卖 ||| 特定 商品 开始 在 市场 上 贩卖 。
碗 ||| 用具 放置 食物 ||| 饮食 用 的 圆形 深底 餐具 。
碗 ||| 用具 放置 食物 ||| 计算 碗装 物 的 单位 。
高达 ||| 高达 ||| 数目 或 数量 大到 后述 程度 。
付诸 ||| 使动 ||| 给予 后 述 事物 。
付诸 ||| 付诸 ||| 交给 后 述 对象 决定 。
付诸 ||| 付诸 ||| 进行 后 述 事件 。
专职 ||| 永久性 职位 ||| 形容 全 时间 担任 本职 的 。
秒钟 ||| 时间 秒 ||| 计算 时间 的 单位 ， 一秒钟 为 一分钟 的 六 十分之一 。
秒钟 ||| 时间 秒 ||| 时间 单位 ， 一秒钟 为 一分钟 的 六 十分之一 。
搞不好 ||| 搞不好 ||| 表有 可能性 。
说明 ||| 说明 ||| 解释 某事 或 某物 使用 的 文件 。
说明 ||| 说明 ||| 解释 使 听话者 明白 。
说明 ||| 说明 ||| 以 口语 媒介 明确 提供 后 述 讯息 。
说明 ||| 说明 ||| 以 文字 媒介 明确 提供 后 述 讯息 。
说明 ||| 说明 ||| 用来 解释 的 内容 。
说明 ||| 说明 ||| 由 前述 现象 明显 得到 后 述 推论 。
换句话说 ||| 功能词 ||| 表以 另 一种 说法 来 表示 。
父母 ||| 人 家庭 女 直系 长辈 人 家庭 直系 男 长辈 ||| 父亲 和 母亲 。
污 ||| 废物 ||| 带有 污垢 杂质 的 废水 。
污 ||| 废物 ||| 使 后述 对象 有 污垢 杂质 的 。
污 ||| 废物 ||| 形容 有 污垢 杂质 的 。
污 ||| 污 ||| 比喻 特定 对象 受到 外 在 环境影响 而 变坏 。
污 ||| 污 ||| 比喻 以 不 正当 的 方式 取得 财物 。
污 ||| 污 ||| 环境 中 混入 有害物质 的 事件 。 ‘ 污染 ’ 的 简省 。
污 ||| 污 ||| 形容 比喻 没有 公理 正义 。
气温 ||| 温度 天象 ||| 空气 的 温度 。
淘 ||| 洗涤 ||| 利用 水 的 冲刷 作用 分出 特定 对象 中有 价值 的 物质 和 价值 较少 的 物质 。
淘 ||| 淘 ||| 比喻 从 多个 对象 中 挑选出 有 价值 的 特定 对象 。
淘 ||| 淘 ||| 取出 不 需要 的 物体 以 使 特定 空间 或 管道 畅通 。
淘 ||| 淘 ||| 形容 不 守规矩 的 。
淘 ||| 淘 ||| 以 容器 取水 。
农田 ||| 陆地 农 栽植 庄稼 ||| 可用 来 耕作 的 土地 。
也似 ||| 也似 ||| 强调 和 前述 事物 在 特定 特性 上 的 相似 。
幻想 ||| 思考 形成 图像 ||| 不合 现实 的 想像 。
幻想 ||| 思考 形成 图像 ||| 不 真实 的 想像 。
幻想 ||| 思考 形成 图像 ||| 不 真实 地 想像 后 述 对象 。
叩 ||| 致敬 ||| 两 手扶 地 跪下 向 特定 对象 磕头 。
叩 ||| 叩 ||| 比喻 吸引 后 述 对象 的 感情 与 注意力 。 常 与 ‘ 心 ’ 连用 。
叩 ||| 叩 ||| 比喻 以 武力 取得 后 述 领土 主权 。
叩 ||| 叩 ||| 比喻 指数 逼近 后 述 具有 指标性 意义 ， 不 容易 超越 的 特定 数值 。 常 与 ‘ 关 ’ 连用 。
叩 ||| 叩 ||| 模拟 以手 或 手持 物品 快击 物体 表面 的 声音 。
叩 ||| 叩 ||| 以手 或 手持 物品 快击 物体 表面 。
好多 ||| 多 很 ||| 数量 大 或 种类 多 。
好多 ||| 好多 ||| 形容 前述 特质 的 程度 高 。
陋 ||| 陋 ||| 形容 比喻 特定 对象 不合时宜 或 不好 的 。
陋 ||| 陋 ||| 形容 比喻 学识 浅薄 。
陋 ||| 陋 ||| 形容 缺乏 金钱 ， 生活 有 困难 的 。
陋 ||| 陋 ||| 形容 人 或物 的 外表 不 好看 ， 不 具有 美的 特质 。
陋 ||| 陋 ||| 形容 物体 破旧 粗劣 不 精致 。
米 ||| 单位 距离 长度 宽度 ||| 长度 的 单位 。 公制 一米 等于 一百 公分 。
米 ||| 单位 距离 长度 宽度 ||| 计算长度 的 单位 。 公制 一米 等于 一百 公分 。
米 ||| 部件 胚 植物 ||| 稻 的 果实 ， 去掉 稻壳 后 可 做 为 食物 。
米 ||| 姓 ||| 姓 。
光碟 ||| 用具 记录 ||| 光碟 中 所 储存 的 资料 内容 。
光碟 ||| 用具 记录 ||| 一种 记忆 装置 ， 以 雷射 光 读取 其中 储存 的 资料 。
下结论 ||| 形成 念头 决定 ||| 总结 最后 的 论断 。
分手 ||| 分离 人 女 人 男 ||| 离开 亲密 的 人 。
分手 ||| 分手 ||| 结束 原有 的 爱情 关系 。
分手 ||| 分手 ||| 结束 原有 的 关系 。
分手 ||| 分手 ||| 通指 结束 原有 的 关系 。
代为 ||| 代替 ||| 替 他人 处理 或 执行 。
生产力 ||| 能力 群体 制造 ||| 生产 特定 对象 的 能力 。
生产力 ||| 能力 群体 制造 ||| 特定 单位 生产 资源 的 生产 效率 。
哈 ||| 地方 国家 亚洲 政 专 ||| 中亚 的 内陆国 ， 位于 中国 、 俄罗斯 、 乌兹别克 、 土库曼 和 吉尔吉斯 之间 。
哈 ||| 地方 国家 亚洲 政 专 ||| 中国 城市 名 ， 位于 黑龙江省 的 南部 ， 临 松花江 ， 为 黑龙江省 的 省会 。 ‘ 哈尔滨 ’ 的 简省 。
哈 ||| 地方 国家 亚洲 政 专 ||| 比喻 十分 喜爱 后 述 对象 。
哈 ||| 声 发声 惊奇 ||| 模拟 大声喊叫 的 声音 。
哈 ||| 声 发声 惊奇 ||| 模拟 笑声 。
哈 ||| 喜欢 ||| 使用 口 摄入 会 令人 上瘾 的 物品 。
哈 ||| 地方 国家 亚洲 政 专 ||| 形容 比喻 受欢迎 且 受 重视 的 。 为 英语 hot 的 音译 。
哈 ||| 地方 国家 亚洲 政 专 ||| 治理 哈萨克 的 政府 。 ‘ 哈萨克 ’ 的 缩写 。
哈 ||| 声 发声 惊奇 ||| 表 惊讶 的 语气 。
哈 ||| 哈 ||| 表不 满意 的 语气 。
哈 ||| 哈 ||| 表 感叹 的 语气 。
哈 ||| 哈 ||| 表 提醒 的 语气 。
哈 ||| 哈 ||| 从 口中 吐 出气 。
哈 ||| 哈 ||| 弯曲 腰椎 ， 使 上半身 朝下 。 常 与 ‘ 腰 ’ 连用 。
哈 ||| 哈 ||| 姓 。
提醒 ||| 提醒 ||| 告诉 后 述 对象 ， 使 其 注意 。
债 ||| 钱财 金融 欠 还 ||| 特定 组织 为 抒解 财 财务 或 其他 因素 ， 而 发行 的 向 特定 对象 借款 的 有价证券 。
债 ||| 钱财 金融 欠 还 ||| 该 给 他人 而 未 给 的 钱财 。
债 ||| 债 ||| 比喻 人 与 人 之间 所 产生 的 需要 处理 而 未 处理 的 恩惠 或 仇恨 。
的话 ||| 功能词 ||| 承接 前述 的 假设 条件 ， 用来 引介 下文 。
抛砖引玉 ||| 吸引 实体 浅薄 部件 心 实体 ||| 比喻 先 有所 行动 以 引起 更好 的 回应 。
卿家 ||| 卿家 ||| 代指臣 下 ， 帝后 对 臣 下 的 称呼 。
出马 ||| 做 ||| 出面 做 后述 事件 。
威胁 ||| 威胁 ||| 比喻 前述 对象 对 后述 对象 造成 严重 的 负面影响 。
威胁 ||| 威胁 ||| 以 令人 恐惧 的 手段 胁迫 人 。
医院 ||| 场所 医 医治 疾病 ||| 医疗 体系 中 规模 较大 的 ， 提供 病患 诊治 、 医疗 照顾 及 住院 的 医疗机构 。
医院 ||| 场所 医 医治 疾病 ||| 通指 所有 诊治 病患 的 医疗机构 。
医院 ||| 场所 医 医治 疾病 ||| 医院 的 建筑物 及 建筑物 所在 的 位置 。
长庚 ||| 天体 ||| 长庚 大学 的 建筑物 及 建筑物 所在 的 位置 。 ‘ 长庚 大学 ’ 的 缩写 。
长庚 ||| 天体 ||| 台湾 私立 大学 之一 ， 位于 桃园县 龟山乡 ， 台塑集团 董事长 王永庆 以 其 父亲 之名 所 创设 的 大学 ， 前身 为 ‘ 长庚 医学院 ’ 。 ‘ 长庚 大学 ’ 的 缩写 。
长庚 ||| 长庚 ||| 长庚医院 的 建筑物 及 建筑物 所在 的 位置 。 ‘ 长庚纪念 医院 ’ 的 缩写 。
长庚 ||| 长庚 ||| 台塑集团 董事长 王永庆 以 其 父亲 之名 所 创设 的 医院 。 ‘ 长庚纪念 医院 ’ 的 缩写 。
技巧 ||| 方法 ||| 形容 做出 特定 行为 以 掩饰 不想 让 他人 知道 的 负面 行为 或 想法 。
技巧 ||| 技巧 ||| 表现 在 特定 领域 的 精巧 技能 。
贱妾 ||| 人 家庭 女 特定 我 配偶 ||| 女子 对 地位 较 高者 说话 时 的 自称 。
贱妾 ||| 人 家庭 女 特定 我 配偶 ||| 地位 低下 的 侧室 。
研 ||| 研究 ||| 提供 硕士 或 博士学位 的 教育 制度 。 ‘ 研究所 ’ 的 简省 。
研 ||| 研究 ||| 以有 系统 的 科学 方式 探求 特定 事物 的 真相 或 性质 。 ‘ 研究 ’ 的 简省 。
研 ||| 研 ||| 将 特定 食材 或 药材 磨成 粉末状 。
研 ||| 研 ||| 思考 后 述 问题 ， 以便 做出 决定 。
研 ||| 研 ||| 以有 系统 的 科学 方式 探求 特定 事物 的 真相 或 性质 的 领域 。
入迷 ||| 喜欢 ||| 对 特定 对象 着迷 。
帝 ||| 人 皇 元首 ||| 在 特定 领域 里 表现 杰出 且 具有 权威 的 男子 。
帝 ||| 人 皇 元首 ||| 在 同类 对象 中 最 显著 且 带有 男性 特质 的 特定 对象 。
帝 ||| 人 皇 元首 ||| 统治 帝国 的 君主 。
帝 ||| 人 皇 元首 ||| 侵略 其他 国家 以 趁机 扩张 自己 国家 势力 的 行为 主张 。 ‘ 帝国主义 ’ 的 简省 。
帝 ||| 人 皇 元首 ||| 在 竞赛 中 夺冠 的 男子 。
帝 ||| 人 皇 元首 ||| 姓 。
证实 ||| 证实 ||| 举证 检验 假设 的 正确性 。
微 ||| 小 ||| 形容 物体 细小 的 。
微 ||| 微 ||| 形容 程度 极低 或 范围 极小 的 。
微 ||| 微 ||| 形容 规模 极小 的 。
微 ||| 微 ||| 形容 数量 极少 的 。
中学 ||| 场所 教育 中等 学习 教 ||| 介于 国民小学 和 大学 之间 等级 的 学校 ， 包括 国中 和 高中 。
中学 ||| 场所 教育 中等 学习 教 ||| 中学 的 建筑物 及 建筑物 所在 的 位置 。
中学 ||| 中学 ||| 中国 传统 学术 。
下面 ||| 人 管理 ||| 比喻 地位 或 等级 较 低 的 人物 。
下面 ||| 人 管理 ||| 比喻 顺序 较后 的 方向 。
下面 ||| 人 管理 ||| 比喻 阶级 架构 中 低于 前述 阶级 的 阶级 。
下面 ||| 部件 低等 组织 ||| 比喻 阶级 架构 较 低 的 方向 。
下面 ||| 部件 低等 组织 ||| 邻近 前述 物体 的 底部 的 位置 。
下面 ||| 部件 低等 组织 ||| 被 前述 物体 覆盖住 的 物体 的 位置 。
下面 ||| 部件 低等 组织 ||| 比喻 受到 前述 事物 的 负面影响 的 范围 。
下面 ||| 部件 低等 组织 ||| 较 低 的 方向 。
下面 ||| 部件 低等 组织 ||| 同一 物体 内较 低 的 部份 。
下面 ||| 部件 低等 组织 ||| 在 镜头 检视 内 的 范围 。
下面 ||| 将来 ||| 比喻 在 参考点 之后 的 文本 顺序 。
下面 ||| 人 管理 ||| 低于 前述 物体 的 位置 。
下面 ||| 部件 低等 组织 ||| 比喻 程度 较少 的 方向 。
下面 ||| 部件 低等 组织 ||| 比喻 数量 较少 的 方向 。
下面 ||| 部件 低等 组织 ||| 与 天 相反 的 方向 。
求援 ||| 要求 帮助 ||| 请求 支援 。
求援 ||| 要求 帮助 ||| 请 他人 解决 自己 的 问题 。
不行 ||| 不行 ||| 表 程度 高 ， 带有 夸张 语气 。
不行 ||| 不行 ||| 形容 比喻 接近 死亡 。
不行 ||| 不行 ||| 形容 表示 不 同意 或 不 允许 。
不行 ||| 不行 ||| 形容 不 具备 完成 特定 事件 能力 的 。
不行 ||| 不行 ||| 形容 不 适当 的 。
从不 ||| 从不 ||| 表后述 事件 从 过去 到 现在 都 没有 发生 过 。
禁 ||| 禁 ||| 避免 特定 动作 或 行为 。
禁 ||| 禁 ||| 承受 得 住 、 承担 。
禁 ||| 禁 ||| 制止 、 不 允许 作 特定 动作 或 行为 。
全心全意 ||| 全心全意 ||| 表 投入 所有 的 心思 ， 毫无保留 。
